TEXT,label
经吧友提醒，我也想起来我家也遇到过那种玩牙签的小屁孩，真踏马出生啊，把三罐牙签全倒到了地上，闹麻了,1
偷外卖的都是点活不起的剑冢,1
鸡有什么区别，无非是时间长短花钱多少罢了。,1
对当代xxn一击见血的抨击，讲抽象的xxn行为形象化通俗易懂，深得8u们的喜爱,1
神分战士了会去玩那b坦克？ 以后打团就五个射手法师看谁站得更后面吧！,1
微信小号钓学校表白墙逆天哥，他已经颅内高潮了,1
给她一巴掌看她发电不发电,1
体谅一下，不是每个人都有爹,1
能在床上顶一整天,1
同应该全部去四，还是图少了,1
与其看智障露阴癖，我不如去看真正的露阴癖,1
重开得了 但别死在孙吧这里,1
某抖刷到了这个，入了xxn窝了,1
人开个枪炮店看给xxn急的,1
屎中屎  不知道这游戏是在玩什么 每天看着电子骚鸡意淫就是原的最大乐趣了,1
史中史  不知道这游戏是在玩什么 每天看着电子骚鸡意淫就是原的最大乐趣了,1
让她开到最大，直接上去抠,1
女司机，xxn，丰田车主，buff拉满啊。这算是贵人吗？,1
什么小丑,1
别给我拽洋文,1
傻逼进士才会娶公主,1
小仙女其实很怕霸体的，说真的，在低端局，小仙女甚至打不过孙笑川，只不过最近很多小仙女穿三视频带节奏，搞的小仙女特别强，真的，不如神里绫华和界徐盛，门酱等,1
我发孙吧小丑看不得的图片，你们评价,1
照片搞出来威胁她给你当性奴的,1
给你丑完了,1
还真是，江西经典钱少事多消费高，小领导大架子，处处形式主义,1
pxj滚,1
小仙女觉得人人想戳ta,1
史中史  不知道这游戏是在玩什么 每天看着电子烧鸡意淫就是原的最大乐趣了,1
不行丁真那张脸确实好看又不娘，摆在这不会让人恶心鉴定多了会自动绑定喜感，然后看到脸就想笑 她这个看了春犯恶心,1
ghg啊一句话就送走了全世界的女性上天堂，其中还有她妈妈。,1
因为xxn就是个不劳而获的群体 产生共鸣很正常,1
想和前女友复合，没想到刚开始就被薄纱了,1
Xxn只能看小说想象了,1
先暴操一顿，然后再讲三观,1
波司登都比这个有设计，这玩意纯纯的祖传单调配色+显眼刺绣，真的土，不知道有啥好穿的。贵的羽绒服上万的多了去了，有钱人也看不上这玩意吧,1
想给楼主py松松土是吧,1
健身人士一定很喜欢这个帖子 因为这帖实在是弱智,1
人情世故确实是糟粕中的糟粕，有用也只是损人利己式的有用,1
谢谢老东西先走了，再见奥小鬼,1
我还在给军训认识的女孩子当舔狗,1
妈的到你这里没绷住,1
加上可爱特效，以为自己呆萌可爱，在我看来这纯属是dinner中的dinner，先给他四个一人一巴掌,1
鼠鼠当场就一半小丑一半生气了，小丑当初快递寄到她家了，生气这小13不如实上报地址让我去找她,1
我笑死这人均四六级的年头要多厉害才能被称为精通英语来着，认识abc吗,1
评价**干嘛,1
玩原神玩的,1
🙅不行，评论太下头了，我得制止一下,1
鼠鼠是资深小丑，发两张聊天记录证明一下,1
就跟我玩孙吧一样。我不逆天。就是单纯享受吧友争着抢着来嗦我牛牛,1
这女的以前得多自卑，现在能拽成这样,1
