TEXT,label
你说你妈呢？低能,1.0
我一般直接狂骂,1.0
反转了，他舍友是你未来的爹,1.0
说了你把她约出来爆操一顿变成你的性奴就好了，学一点钓女的技巧，对线什么的,1.0
说白了，吧里一群nt人丑没人要，想玩又不敢，人怂又怕死，活该,1.0
说了你把她约出来爆炒一顿变成你的性奴就好了，学一点钓钕的技巧，对线什么的,1.0
小东西衮出孙吧,1.0
可惜会计本身没啥大用，用来坐牢随便一个会计都行了,1.0
女性员工不会做这种事，鉴定为男的反串,1.0
单从这句和上面那句来说，说话是真直，毫不掩饰把你当沙杯,1.0
他都吸毒了我不污名和歧视他那他岂不是白吸了？,1.0
烂或，别搁这理发店,1.0
烂或，别搁这里发癫,1.0
楼主可以直接快进到小丑吗,1.0
说了你把她约出来爆操一顿变成你的性奴就好了，学一点钓钕的技巧，对线什么的,1.0
这就是典型的父母那边没能力但是心比天高，自己存了大半辈子的钱都拿不出一套市区房全款的话，老老实实在小县城呆着不比这样天天背着压力活着强多了,1.0
只能说楼主小丑一个捏,1.0
你说你马呢？低能,1.0
不是有那种跟验孕棒一样的便捷式仪器吗，直接让对象测，爱测测不测滚,1.0
心疼啥，已经违规纵容。都已经骑连上拉实还是以对面是to而给予超柜待遇,1.0
前几年贴着不招女的是有道理的，现在的女的身娇体贵真不干那不敢的，还特别气气还说不得，一说就一哭二闹就像是全是别人错一样自己干活干的跟坨粑粑似的只字不提。,1.0
要发就正常发，要么不发，你这不纯e心人吗,1.0
你是真没救了，谈恋爱又不是结婚难不成给你整个大钻戒？,1.0
让你二姐找富二代啊，好歹有B，要是实在丑当我没说,1.0
也比你在这儿混吃等死强,1.0
拿马钓鱼是这样,1.0
感觉你也是太上头了，谈过十几段的人了，这种女生按理说就是和她各玩各的，各取所需而已，她这种也不值得你去搞纯爱。而且也没有多纯爱，只是对她的占有欲过剩了。这种女生还是玩玩的就好，不配你花这么多精力的,1.0
孙吧怎么什么dinner都放进来,1.0
日本要是能被海啸淹没，国内沿海不被淹？能不能动动脑子。,1.0
你这嘴腌了几年啊这么入味儿,1.0
恭喜恭喜 你女朋友要找到新的泡友了,1.0
我只听过裹小脚，还没听过裹小脑,1.0
这么好骗笑死我了,1.0
什么鬼，这留学怕不是读的英港新澳的水硕吧,1.0
为了反而反，见证智障看多了我怕影响我的心情,1.0
那么问题来了，你怎么判断是不是处女,1.0
老东西删了呗我有个朋友看见这个挺不舒服的，反正不是我啊我只是有个朋友,1.0
对的，素质差可以毁掉一切优点，除非你只是单纯的想来一炮，不过我觉得也嫌脏,1.0
p的还行,1.0
dinner，tank赶紧414得了,1.0
不是，几套房几辆车就算条件好了？你不变现有个锤子用,1.0
烂货，别搁这里发癫,1.0
我对你的深情无法付诸语言，除了一句“滚”,1.0
鼠鼠没有文化看不懂捏。不过鼠鼠也喜欢射在她脸上捏。,1.0
说实话，感觉小孩会受不少影响，有墙还是出现了一些esu群体，现在还在向低龄化发展，墙放开后，都不敢想象小鬼能成什么样,1.0
错了哥，下次我一定多改点，我这种rz不配用米老师的文案,1.0
嘴闲就去舔马桶，别在这叭叭的。,1.0
什么叫玩女的 你是不是在物化女性 我们女性不被定义 中间忘了 后面也忘了,1.0
在键盘上撒把米，鸡的走位都比你骚。,1.0
我有密集恐惧症，不能接近心眼子多的人,1.0
不是，黄牌老登又幻想起来了，自己fvv别带上大伙啊，正常人碰见该怎么说话就怎么说话吧，难道老登真以为盖了个章就霸气了？,1.0
讲讲鼠鼠人生中最小丑的一个月,1.0
你没有猪的形象，但是你有猪的气质,1.0
把她月出来，看能不能馹，馹了再说,1.0
真羡慕你自拍就是全家福，团圆饭一个人就能吃了,1.0
医生呢，赶紧救一下啊你这脑子还是别逃出来了,1.0
快进到离婚打官司男方获得0.5%财产,1.0
我都没敢看给你发鸡毛,1.0
抖音还蛮多李孝子的,1.0
那你平时吃的东西都是从卫生纸里拿的？,1.0
你这什么表情，想被灌注了吗,1.0
对于有些人我只想说，我的巴掌很适合你的脸,1.0
这是抠出幻觉了？不先看看自己什么b样，值得人浪费时间搁那看？,1.0
花钱买盗版？你是真的6,1.0
别说石器时代，就是封建社会也是差不多的。所谓屠城，一般也是默认女的不杀的，女的算在财货里的，除非带不走，才会跟劫粮道一样烧粮草。面对杀了自己全家的敌人，女的又有几个复仇的？绝大多数还不是被操，生个娃，就那么过下去了……,1.0
这byd之前对他的好全忘了是吧养条狗不比这强？,1.0
局外人感觉就是主人公自己无所谓，母亲老婆杀人，最后自己作死了,1.0
你多少也是有点问题,1.0
烂货，别搁这理发店,1.0
这才发现是个垃圾人啊，逆天,1.0
不化那个吊毛妆长的还过得去  我称之为唐妆,1.0
知道什么后果，和同学玩说一声不就行了，你平时是有多👻？,1.0
小东西滚出孙吧,1.0
说了你把她约出来爆炒一顿变成你的性奴就好了，学一点钓女的技巧，对线什么的,1.0
本来就是捞女想来吃白饭捣鼓出的话术她们还真信了鄙视，嘲笑,1.0
v5000看看实力,1.0
叛逆……一旦被他们那个zzzq影响，吵吵着变性，搞同……那不是叛逆，而是傻逼了,1.0
白痴能够当你的老师，智障都能够教你说人话。,1.0
说不定和你结婚也是主人的任务呢,1.0
别羡慕，父母离异换的,1.0
恭喜恭喜 你女朋友要找到新的炮友了,1.0
你受的了你儿子小学跟你讲他心理性别是女性，要剁碉?,1.0
这些女的真脸和尸体一样还说别人啊虽然假脸也丑,1.0
其实就是让你花一千多然后教你去阿里巴巴找图挂闲鱼卖，是个人就会，还需要花一千多跟他们学？,1.0
哪里都有你这个死妈串子,1.0
你兄弟大老远过来找你，你也好意思让人请你吃饭捏，建议楼主吃屎也和xxn分享一下哦，另外建议锁死~,1.0
怎么哪都有你joke,1.0
评价不了，挠谈,1.0
他很好的赞美了，这种放大街上还是最丑的几个，看着一副土龙鸣相,1.0
当驴当的心甘情愿，骄傲满满，还要骂自己身边推磨推慢了的驴两句矫情,1.0
恋爱的小心思弯弯绕绕不像批一样一通到底,1.0
其实你不讨厌，只是没有讨喜之处。,1.0
大学真的能把人变成骚鸡,1.0
快进到我在国外认识一个黑人朋友，我和他什么也没做，你怎么老是怀疑我们两个，其实那天晚上我什么也不记得了，我是无辜的，你不是真的爱我,1.0
前期的作品可以，后面感觉像吸了毒一样。,1.0
外网弱智看久了容易高血压,1.0
楼主，唧唧没了,1.0
这种不是纯弱智？,1.0
体育课，有女生穿裙子趁他们练体前屈时偷看,1.0
死了母的这男的，真即把下头，上来直接怼着问感情史智商低情商也低，不会聊天建议重开，就这闹颤水平还搁网络上找对象,1.0
低龄？低能！,1.0
